field_1,well_id,Alkalinity,Alkalinity_Total,ANC,As,Ba,Be,Bicarbonate,Br-,Ca,Carbonate,Cd,Cl,Cl-,CO2,Conductivity,Cr,Cyanide,DO,ElectricalConductivity,"Gross alpha, 2-sigma combined uncertainty",GrossAlpha,GrossAlpha_U_Nat,GrossBeta,GrossBeta_Cs137,GrossBeta_Sr_Y90,Hardness,Hardness_Total,Hg,HydrogenIon,Hydroxide,K,Mg,Mn,Na,Na_AdsorptionRatio,Na_FractionCations,Na_K,Nitrate,Nitrate_Nitrite,NO2-,NO3-,Noncarbonate_Hardness,ORP,Pb,Ra_226,"Ra_226, 2-sigma combined uncertainty",Ra_228,"Ra_228, 2-sigma combined uncertainty",Ra_Total,Sb,Se,SpecificConductance,Temperature,Tl,Turbidity,U
317,603,,250,,9,420,1,,,170,,1,,50,,652,20,,9,3.2815,,1.898,,0.418,,,,238,0.015,,,1.3,15,78,45,,,,,,,0.1,,,1,0.118,,0,,0.118,0.5,9,,22.85,1,2,4.5
318,604,,,,1,2400,1,,,190,,1,,,,,20,,9,2.08,,,,,,,,,,,,4.3,33,59,350,,,,,,,0.64,,,1,,,,,,,1,,23.2,,177,1
319,605,,,,38.61310825,13,1,,,25,,1,,,,,20,,10,0.559,,,,,,,,,,,,3.3,3.6,2,99,,,,,,,1.5,,,1,,,,,,0.241254706,32,,21.3,,171,9.434892715
320,606,,,,1.869367269,6,1,,,710,,1,,,,,20,,10,2.93,,,,,,,,,,,,4.4,100,79,360,,,,,,,0.21,,,1,,,,,,,1,,21.4,,178,26.79608293
321,607,,,,,,,,,,,,,,,,,,11,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,10,
322,608,,,,1,85,1,,,66,,1,,,,,20,,6,0.316,,,,,,,,,,,,1.3,5.4,2,34,,,,,,,0.95,,,1,,,,,,,2,,20.7,,10,5
323,609,,,,1,44,1,,,110,,1,,,,,20,,9,0.265,,,,,,,,,,,,1.2,5.4,2,5.1,,,,,,,7.6,,,1,,,,,,,2,,20.8,,10,1
324,610,,,,1,42,1,,,61,,1,,,,,20,,9,0.213,,,,,,,,,,,,1.2,4.8,3,11,,,,,,,0.72,,,1,,,,,,,1,,21.5,,10,2
325,611,,,,2,43,1,,,63,,1,,,,,20,,10,0.166,,,,,,,,,,,,1,3.2,2,6.1,,,,,,,0.93,,,1,,,,,,,1,,20.8,,10,1
326,612,,,,1,510,1,,,100,,1,,,,,20,,8,0.243,,,,,,,,,,,,1.8,5.1,2,6,,,,,,,0.76,,,1,,,,,,,1,,19,,10,1
327,613,,,,1,310,1,,,150,,1,,,,,20,,6,0.386,,,,,,,,,,,,2.2,7.5,5,20,,,,,,,0.69,,,1,,,,,,,1,,19.4,,10,1
328,614,,,,1,580,1,,,150,,1,,,,,20,,9,0.346,,,,,,,,,,,,1.5,7.3,8,9.3,,,,,,,0.57,,,1,,,,,,,1,,19.5,,10,1
329,615,,,,1,43,7,,,370,,1,,,,,20,,10,0.841,,,,,,,,,,,,2.7,8.4,1300,30,,,,,,,0.1,,,2,,,,,,,1,,17.5,,10,1
330,616,,,,1,320,1,,,150,,1,,,,,20,,7,0.346,,,,,,,,,,,,1.8,7.3,4,7.8,,,,,,,0.89,,,1,,,,,,,1,,20.9,,10,1
331,617,,,,1,14,1,,,180,,1,,,,,20,,8,1.67,,,,,,,,,,,,2,16,3,320,,,,,,,13,,,1,,,,,,,1,,24.8,,10,15
332,619,,,,1,30,1,,,100,,1,,,,,20,,9,0.424,,,,,,,,,,,,3.5,8.9,3,36,,,,,,,0.28,,,1,,,,,,,1,,23.3,,10,2
333,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
334,621,,,,1,170,1,,,75,,1,,,,,20,,5,0.381,,,,,,,,,,,,0.8,3.7,2,6.2,,,,,,,0.81,,,1,,,,,,,1,,21.8,,10,1
335,623,,,,1,220,1,,,160,,1,,,,,20,,6,0.401,,,,,,,,,,,,1.8,5.1,10,17,,,,,,,0.99,,,1,,,,,,,1,,22.9,,6,2
336,624,,,,16,14,1,,,14,,1,,,,,20,,5,1.28,,,,,,,,,,,,2.2,1.8,2,280,,,,,,,0.1,,,1,,,,,,,16,,22.3,,2,1
337,625,,,,23.24889522,12,1,,,34,,1,,,,,20,,5,1.21,,,,,,,,,,,,2.7,12,4,250,,,,,,,0.1,,,1,,,,,,,17,,22.33,,80,1
338,628,,,,1,56,1,,,160,,1,,,,,20,,9,0.381,,,,,,,,,,,,0.3,6.9,2,8,,,,,,,0.22,,,1,,,,,,,1,,22,,8,2
339,629,,,,3,240,1,,,230,,1,,,,,20,,5,0.617,,,,,,,,,,,,2.3,15,2,24,,,,,,,0.86,,,1,,,,,,,3,,20.3,,1,2
340,630,,,,19.13652011,120,1,,,160,,1,,,,,20,,10,0.375,,,,,,,,,,,,1.4,6.6,2,7.8,,,,,,,8.1,,,1,,,,,,,2,,17.6,,157,30.53656107
341,633,,,,40.02272086,11,1,,,4,,1,,,,,20,,8,0.667,,,,,,,,,,,,1.7,0.41,19,170,,,,,,,0.1,,,9.503793832,,,,,,0.123639477,39,,20.4,,5,11.34
342,634,,,,2,76,1,,,60,,1,,,,,20,,6,0.135,,,,,,,,,,,,1.8,6.9,2,12,,,,,,,1.8,,,1,,,,,,,1,,21,,8,6
343,635,,,,18.92883136,30,1,,,11,,1,,,,,20,,5,0.342,,,,,,,,,,,,1.8,0.75,2,130,,,,,,,1.1,,,2,,,,,,0.235765831,42.88544893,,24,,9,10.46506682
344,637,,,,1,110,1,,,120,,1,,,,,20,,6,0.301,,,,,,,,,,,,1.9,6.8,2,53,,,,,,,4.6,,,1,,,,,,,3,,19.5,,2,6
345,638,,,,2,110,1,,,83,,1,,,,,20,,7,0.189,,,,,,,,,,,,2.4,8.8,20,18,,,,,,,2.1,,,1,,,,,,,1,,19.4,,8,4
346,639,,,,1.5270394,9,1,,,230,,1,,,,,20,,5,2.32,,,,,,,,,,,,6.4,37,14,440,,,,,,,0.28,,,1,,,,,,,1,,19.7,,2,1
347,640,,,,2,25,1,,,360,,1,,,,,20,,7,2.96,,,,,,,,,,,,10,85,240,490,,,,,,,0.1,,,1,,,,,,,1,,18.8,,11,1
348,641,,,,3,180,1,,,180,,1,,,,,20,,5,0.289,,,,,,,,,,,,0.9,8.9,2,11,,,,,,,0.48,,,1,,,,,,,2,,17,,1,7
349,642,,,,17,120,1,,,54,,1,,,,,20,,10,0.97,,,,,,,,,,,,2.5,16,18,210,,,,,,,0.1,,,1,,,,,,,2,,20.1,,218,22
350,643,,121,,2.305078165,57,1,,,37.6,,1,,3.2,,261,20,,10,0.241,,3.7741,,1.21,,,,78,0.015,,,2.6,6.15,2.4,28.5,,,,,,,1.2,,,1,0.138,,0.178,,0.316,0.5,11.03825218,,18.55,1,111.04,4.639899244
351,644,,,,18,110,1,,,27.15,,1,,,,,20,,5,0.473,,,,,,,,,,,,1.05,3.09,2,62,,,,,,,1.2,,,1,,,,,,,1,,22.9,,1,3
352,645,,,,6,28,1,,,18,,1,,,,,20,,6,0.285,,,,,,,,,,,,1.8,2.9,2,53,,,,,,,0.4,,,1,,,,,,,2,,23.2,,5,1
353,646,,,,21,6,1,,,6.8,,1,,,,,20,,6,1.31,,,,,,,,,,,,3.1,1,7,340,,,,,,,0.1,,,3,,,,,,,1,,21.7,,20,1
354,647,,,,55,22,1,,,5,,1,,,,,20,,6,1.43,,,,,,,,,,,,1.7,1.3,2,340,,,,,,,0.1,,,1,,,,,,,1,,20.5,,2,15
355,648,108,,124,3,34,1,151,0.05,9.35,10,1,,5,3.2,,20,,7,0.411,,,,,,,50.6,,,,,1.7,5.3,10,64,2.6,65,111.5,,,,1.4,0,,1,,,,,,,1,246,16.5,,11,9
356,649,,,,1,18,1,,,60,,1,,,,,20,,6,0.207,,,,,,,,,,,,1.6,9.1,4,7.1,,,,,,,4.6,,,1,,,,,,,1,,22,,21,1
357,650,,,,19.2878563,13,1,,,5.5,,1,,,,,20,,3,0.768,,,,,,,,,,,,1.1,0.44,3,170,,,,,,,0.1,,,6.571332311,,,,,,0.123639477,1,,22.9,,2,11.1530006
358,651,,240.5,,4,14,1,,,3.75,,1,,15.85,,732,20,,6,0.582,,222.65,,249,,,,14,0.015,,,1.3,0.75,4.8,170,,,,,,,2.6,,,68,0.323,,0.303,,0.511,1.7,140,,18.7,1,3.56,700
359,652,,,,1,20,1,,,58,,1,,,,,20,,6,0.197,,,,,,,,,,,,0.9,8.8,2,10,,,,,,,0.69,,,1,,,,,,,1,,20.8,,4,1
360,653,,,,1,46,1,,,35,,1,,,,,20,,6,0.153,,,,,,,,,,,,1,3.3,2,18,,,,,,,0.95,,,1,,,,,,,1,,23.1,,13,6
361,654,,,,21,8,1,,,2.8,,1,,,,,20,,6,0.685,,,,,,,,,,,,1.5,0.23,2,190,,,,,,,0.26,,,3,,,,,,,9,,22.2,,50,51
362,655,,,,1,79,1,,,52,,1,,,,,20,,6,0.401,,,,,,,,,,,,3,18,2,53,,,,,,,0.1,,,1,,,,,,,1,,20.8,,3,26
363,656,,,,1,89,1,,,58,,1,,,,,20,,9,0.56,,,,,,,,,,,,4.6,26,2,77,,,,,,,0.1,,,1,,,,,,,17,,15.9,,6,27
364,657,,,,1,23,1,,,60,,1,,,,,20,,7,0.225,,,,,,,,,,,,2.5,14,2,4.6,,,,,,,1.8,,,2,,,,,,,1,,19.3,,14,1
365,658,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.992445351
366,659,,,,2,48,1,,,15,,1,,,,,20,,1,0.349,,,,,,,,,,,,1.5,2.4,3,86,,,,,,,0.4,,,1,,,,,,,1,,18.9,,10,14
367,660,,,,2,170,1,,,120,,1,,,,,20,,3,0.64,,,,,,,,,,,,1.3,30,2,63,,,,,,,0.1,,,1,,,,,,,1,,21,,0,14
368,661,,,,1,36,1,,,120,,1,,,,,20,,6,0.701,,,,,,,,,,,,4.2,20,21,82,,,,,,,0.52,,,1,,,,,,,4,,21.2,,11,28
369,662,,,,1,23,1,,,57,,1,,,,,20,,5,0.15,,,,,,,,,,,,1.4,2.9,5,3.8,,,,,,,0.52,,,4,,,,,,,1,,18.5,,10,1
370,663,,,,1,47,1,,,73,,1,,,,,20,,9,0.191,,,,,,,,,,,,1.2,2.3,2,7.4,,,,,,,1.1,,,1,,,,,,,1,,21,,10,1
371,664,,,,1,38,1,,,59,,1,,,,,20,,9,0.159,,,,,,,,,,,,1.2,2.9,7,8,,,,,,,0.71,,,1,,,,,,,1,,2.06,,10,1
372,665,,,,1,35,1,,,71,,1,,,,,20,,10,0.169,,,,,,,,,,,,1.4,2.6,2,3.9,,,,,,,1.2,,,1,,,,,,,1,,18.8,,10,1
373,668,,,,1,76,1,,,56,,1,,,,,20,,9,0.152,,,,,,,,,,,,1.3,2.3,2,5.5,,,,,,,0.6,,,3,,,,,,,1,,20.6,,197,1
374,670,,,,3,130,1,,,96,,1,,,,,20,,5,0.22,,,,,,,,,,,,0.3,2.4,2,7.5,,,,,,,2.2,,,1,,,,,,,1,,20.2,,1,3
375,671,,,,1,69,1,,,65,,1,,,,,20,,9,0.197,,,,,,,,,,,,1.2,2.6,2,6.4,,,,,,,0.97,,,1,,,,,,,1,,20.6,,181,1
376,672,,,,1,13,1,,,63,,1,,,,,20,,6,0.111,,,,,,,,,,,,1.2,4.9,2,7.9,,,,,,,1.1,,,1,,,,,,,1,,20,,2,1
377,673,,,,4,29,1,,,69,,1,,,,,20,,6,0.117,,,,,,,,,,,,1.2,5.9,2,7.9,,,,,,,0.62,,,1,,,,,,0.333799399,14.95907902,,20.2,,2,1.142862707
378,674,,,,4,39,1,,,49,,1,,,,,20,,6,0.095,,,,,,,,,,,,1.2,5.9,4,5.7,,,,,,,0.29,,,1,,,,,,0.255028916,12.7951342,,20.2,,8,1.299183469
379,675,,,,1,140,1,,,74,,1,,,,,20,,4,0.202,,,,,,,,,,,,2.2,21,80,13,,,,,,,0.52,,,1,,,,,,,1,,25.3,,2,1
380,676,,,,4,330,1,,,135.5,,1,,,,,20,,1.5,0.3975,,,,,,,,,,,,1.8,28.7,140,58.85,,,,,,,2.1,,,1,,,,,,,2,,19.945,,15,3
381,678,,,,2,49,1,,,56,,1,,,,,20,,1,0.136,,,,,,,,,,,,2.6,6,12,11,,,,,,,0.61,,,1,,,,,,,1,,20.7,,34,1
382,679,,,,2,120,1,,,110,,1,,,,,20,,3,0.185,,,,,,,,,,,,1.1,3.9,4,16,,,,,,,0.9,,,1,,,,,,,2,,20.5,,2,16
383,680,,,,4,5,1,,,2.5,,1,,,,,20,,9,0.224,,,,,,,,,,,,1.1,0.078,3,100,,,,,,,1.1,,,2,,,,,,,1,,21.6,,3,7
384,681,,,,3,5,1,,,5,,1,,,,,20,,6,0.256,,,,,,,,,,,,1.5,0.2,7,110,,,,,,,1,,,2,,,,,,,1,,20.3,,6,4
385,682,,,,6,5,1,,,3.05,,1,,,,,20,,6,0.2148,,,,,,,,,,,,0.865,0.055,7,76,,,,,,,1.1,,,7,,,,,,,3,,23.7,,8.5,2
386,683,,,,1,12,1,,,20,,1,,,,,20,,6,1.215,,,,,,,,,,,,3.25,1.35,13,370,,,,,,,0.1,,,3,,,,,,,1,,22.8,,9,1
387,684,,,,8,5,1,,,4.2,,1,,,,,20,,7,0.7,,,,,,,,,,,,1,0.18,8,76,,,,,,,0.35,,,5,,,,,,,1,,21.8,,7,3
388,685,,,,5,5,1,,,1.95,,1,,,,,20,,6,0.2805,,,,,,,,,,,,0.83,0.085,2,99.5,,,,,,,1.3,,,3,,,,,,,1,,24.4,,4.5,2
389,687,,,,2,94,1,,,38,,1,,,,,20,,6,0.148,,,,,,,,,,,,2.3,6.3,2,31,,,,,,,1.8,,,1,,,,,,,1,,22.9,,2,15
390,688,,,,2,27,1,,,82,,1,,,,,20,,7,0.563,,,,,,,,,,,,6.1,21,2,140,,,,,,,1.4,,,1,,,,,,,5,,22.2,,4,46
391,692,,,193,,,,177,,2,29,,,26,,,,,,,,,,,,,7,,,,,1.9,0.5,,129,21,97,,,,,0.4,0,,,,,,,,,,565,16,,,
392,857,,,148,,,,180,,16,0,,,35,7.2,,,,,,,,,,,,51,,,3.00E-05,,1.8,2.7,,87,5.3,78,,,8.3,,,0,,,,,,,,,,460,17,,,
393,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.134328358
394,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.626865672
395,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.880597015
396,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.537313433
397,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.582089552
398,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.835820896
399,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.537313433
400,868,,,476,,,,580,,22,,,,190,,,,,,,,,,,,,80,,,,,1.4,6.1,,420,20,92,,19,4.3,0.03,19,0,,,,,,,,,,1750,17,,,
401,870,,,147,,,,179,,49,0,,,4.5,11,,,,,,,,,,,,150,,,4.00E-05,,2.3,5.6,,11,0.4,14,,,1.4,,,0,,,,,,,,,,360,20,,,0.567164179
402,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.417910448
403,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.835820896
404,875,,,129,,,,157,,35,0,,,6.4,6.3,,,,,,,,,,,,110,,,3.00E-05,,3.4,5.3,,15,0.6,22,,,0.55,,,0,,,,,,,,,,280,,,,2.388059701
405,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.791044776
406,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089552239
407,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.328358209
408,879,,,536,,,,653,,4.9,,,,21,,,,,,,,,,,,,17,,,,,1.4,1.1,,340,36,98,,6.2,1.4,0.03,6.2,0,,,,,,,,,,1340,16,,,
409,880,,,730,,,,890,,6.9,,,,20,,,,,,,,,,,,,21,,,,,1.4,0.9,,420,40,98,,4.8,1.1,0.03,4.8,0,,,,,,,,,,1710,16,,,
410,883,,,435,,,,530,,56,0,,,575,6.7,,,,,,,,,,,,200,,,1.00E-05,,,14,,1028,,,670,,,,,0,,,,,,,,,,3330,,,,
411,884,,,460,,,,561,,76,,,,38,,,,,,,,,,,,,260,,,,,4.3,18,,170,4.6,58,,0.09,0.05,0.1,0.09,0,,,,,,,,,,1140,16,,,
412,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.880597015
413,887,,,,,,,,,,,,,,,,,,,,15.79,58,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.3,,0.45,,,,,,,94.02985075
414,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.343283582
415,892,,,146,,,,178,,43,,,,5.6,,,,,,,,,,,,,120,,,,,3.6,3.3,,16,0.6,22,,,0.58,,,0,,,,,,,,,,290,14.5,,,2.537313433
416,893,,,130,,,,158,,48,,,,10,,,,,,,,,,,,,140,,,,,1.8,3.9,,12,0.4,16,,,1.2,,,6,,,,,,,,,,290,16.5,,,0.701492537
417,894,,,258,,,,315,,120,,,,39,,,,,,,,,,,,,390,,,,,4.1,22,,38,0.8,17,,,0.08,,,130,,,,,,,,,,820,,,,5.52238806
418,919,,,,2.89875931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.113701249
419,920,,,151,,,,184,,113,0,,,28,23,,,,,,,,,,,,420,,,8.00E-05,,,35,,,1.9,31,89,,,,0.3,270,,,,,,,,,,1190,,,,
420,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,15,,,
421,941,,,441.5,3,40,,530,,10,5,0,,18,,,0,,,,,,,,,,48,,0,,0,8,5,40,215,14,89,,,,0,0.9,0,,0,,,,,,,0,1320,,,0.5,
422,946,,,105,,,,128,,34,0,,,7,,,,,,,,,,,,,150,,,,,,16,,,,,4.6,,,,6.8,46,,,,,,,,,,318,,,,
423,947,,,,,,,357,,244,0,,,125,18,,,,,,,,,,,,800,,,3.00E-05,,,46,,,6.3,53,4100,,,,0.4,510,,,,,,,,,,2780,,,,
424,950,,,191,17,4,,,,2.5,,,,4.1,0.3,,,,,,,,,,,,9,,,,,1.3,0.66,,110,17,96,,,,,,0,,,,,,,,,,457,16,,,
425,951,,,179,21,,,198,,3,10,,,,1,,,,,,,,,,,,9,,,,,2,,,92,,4,,,,,0,0,,,,,,,,,,420,,,0.2,
426,952,,,144,12,,,,,3.4,,,,1.4,0.3,,,,,,,,,,,,11,,,,,1.7,0.67,,81,11,93,,,,,,0,,,,,,,,,,373,16.5,,,
427,953,,,248,36,,,,,2.9,,,,6.4,0.9,,,,,,,,,,,,10,,,,,1.4,0.68,,140,20,96,,,,,,0,,,,,,,,,,572,16.5,,,
428,954,,,172,12,100,10,,0.013,3.095,,1,,2.12,0.55,,10,,,,,,,,,,11,,,,,1.3,0.8035,,94.1,12.2,94,,,0.1,,,0,,,,,,,,1,0.4,417,,,,0.04
429,956,,,399,,,,486,,24,0,,,14,,,,,,,,,,,,,100,,,,,,11,,,7.4,78,170,,,,1.2,0,,,,,,,,,,867,15.5,,,
430,957,,,153,19,,,183.5,,3.4,0,,,2,1.9,,,,,,,,,,,,16,,,,,1.4,1.5,0,90.5,8.8,92,86,,,,0.7,0,,,,,,,,,,382,18.5,,,
431,958,,,170,15,,,,,3.1,,,,2.1,0.5,,,,,,,,,,,,11,,,,,1.1,0.7,,93,13,94,,,0.1,,,0,,,,,,,,,1,405,17.5,,,
432,959,,,197,13,,,259,,21.25,7,,,7.45,0.95,,,,,,,,,,,,104,,,,,1.3,11.745,,93,15,95,74,,,,0.5,0,,,,,,,,,,425,18,,,
433,960,,,235,,,,246,,,20,,,6,,,,,,,,,,,,,,,,,,,,,,,,140,,,,0.1,,,,,,,,,,,,19,,,
434,961,,,197,19,4,,,,3,,,,2.2,0.4,,,,,,,,,,,,10,,,,,1.1,0.56,,110,16,96,,,,,,0,,,,,,,,,,467,16,,,
435,962,,,155,6,,,,,3.6,,,,1,0.2,,,,,,,,,,,,11,,,,,1.6,0.57,,84,11,93,,,,,,0,,,,,,,,,,377,18,,,
436,963,,,342,68.6,,,350,,1.85,13,,,15,1,,,,,,,,,,,,6.35,,,,,1.2,0.485,11,184.5,33,98,140,,0.1,,1,0,,,,,,,,,1,790,19.55,,,0.395
437,964,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,775,20,,,
438,965,,,295,,,,360,,,,,,19,18,,,,,,,,,,,,150,,,3.00E-05,,,,,,,,,,,,,0,,,,,,,,,,,,,,
439,966,,,300,6,,,,,180,,,,2300,12,,,,,,,,,,,,730,,,2.00E-05,,30,67,,3600,58,91,,,,,,430,,,,,,,,,,15250,20.5,,,
440,967,,,807,,,,962,,3.65,63,,,30.5,2.7,,,,,,,,,,,,13.5,,,,,4.75,1.12,,513.5,66.5,98.5,,,0.14,,0.2,0,,,,,,,,,,1920,17.5,,,
441,977,,,,3.53138992,,,,,18.43007991,,0.138753959,,7.38788085,,,0.683956096,,,,,,,,,,,,,,,1.476450361,8.479952256,,6.801700349,,,,5.70754009,,,,,,2.645135697,,,,,,0.123639477,,,,,,1.603135354
442,980,,,,0.739635884,,,,,22.13238971,,,,,,,,,,,,,,,,,,,,,,,13.1994322,0.88831695,,,,,,,,,,,,,,,,,,,,,,,0.657208982
443,981,,,,2.411414958,,,,,15.11899232,,,,,,,,,,,,,,,,,,,,,,,9.023206156,0.778011634,,,,,,,,,,,,,,,,,,,,,,,0.357626908
444,987,,,,2.23238964,,,,,17.35487076,,,,,,,,,,,,,,,,,,,,,,,14.38621636,0.423260163,,,,,,,,,,,,,,,,,,,,,,,0.766154807
445,988,,,,3.501129964,,,,,26.11053708,,,,,,,,,,,,,,,,,,,,,,0,3.21681504,,0,,,,,,,,,,,,,,,,,,,,,,0.675030133
446,989,,,,1.923606593,,,,,47.43333169,,,,,,,,,,,,,,,,,,,,,,,15.03131871,0.726661254,,,,,,,,,,,,,,,,,,,,,,,1.604548004
447,993,,,,1.563534099,,,,,24.44342165,,,,9.90592097,,,,,,,,,,,,,,,,,,1.780418714,4.474596371,,17.52966243,,,,8.48813319,,,,,,,,,,,,,,,,,,1.475382268
448,996,,,,4.333772687,,,,,16.77862961,,,,10.97936007,,,,,,,,,,,,,,,,,,3.000061069,7.140482942,,12.56072064,,,,1.33767486,,,,,,,,,,,,,,,,,,0.726565038
449,998,,,,2.784473543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.162353969
450,999,,,,1.059858,,,,,32.77388686,,,,,,,,,,,,,,,,,,,,,,,9.857499353,8.361594744,,,,,,,,,,,,,,,,,,,,,,,2.64507327
451,1001,,,,2.006428727,,,,,18.60749788,,,,,,,,,,,,,,,,,,,,,,,7.757064169,1.032013025,,,,,,,,,,,,,,,,,,,,,,,0.630943085
452,1002,,,,0.085240545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989007961
453,1010,,,,2.008170992,,,,,18.31558448,,,,,,,,,,,,,,,,,,,,,,,10.18835086,1.159712848,,,,,,,,,,,,,,,,,,,,,,,0.740680729
454,1011,,,,1.003286549,,,,,2.484092937,,,,,,,,,,,,,,,,,,,,,,,1.426701165,1.377639107,,,,,,,,,,,,,,,,,,,,,,,0.639583568
455,1013,,,,1.37408022,,,,,16.59577375,,,,,,,,,,,,,,,,,,,,,,,10.8993209,1.958835869,,,,,,,,,,,,,,,,,,,,,,,0.351586017
456,1016,,,,1.43078533,,,,,21.6739636,,,,,,,,,,,,,,,,,,,,,,,5.765079334,2.52133979,,,,,,,,,,,,,,,,,,,,,,,1.162752025
457,1025,,,,1.649069852,,,,,14.8539032,,,,8.37112794,,,,,,,,,,,,,,,,,,1.708978001,8.915982057,,5.582728789,,,,13.29228837,,,,,,,,,,,,,,,,,,0.684491633
458,1028,,,,2.221243662,,,,,,,0.58893651,,,,,0.614912347,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.025878867,,,,,,0.123639477,,,,,,0.913671368
459,1032,,,,1.053265751,,,,,19.5735396,,,,,,,,,,,,,,,,,,,,,,,5.202728859,0.514035799,,,,,,,,,,,,,,,,,,,,,,,0.435049095
460,1033,,,,0.84624827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.934678121
461,1035,,,,1.693711366,,,,,26.51052667,,,,,,,,,,,,,,,,,,,,,,,3.942456305,0.568055165,,,,,,,,,,,,,,,,,,,,,,,5.066758241
462,1041,,,,1.927035203,,,,,14.28373137,,0.138753959,,,,,0.463381003,,,,,,,,,,,,,,,0,2.509458439,,0,,,,,,,,,,0.113796054,,,,,,0.123639477,,,,,,0.481906077
463,1042,,,,0.881578199,,,,,11.25312748,,,,8.03205447,,,,,,,,,,,,,,,,,,3.137357799,13.89324844,,11.29449758,,,,4.93442475,,,,,,,,,,,,,,,,,,6.59076635
464,1050,,,105,,,,128,,30,0,,,5,,,,,,,,,,,,,110,,,,,,9.5,,,0.3,11,6.4,,,,4.2,9,,,,,,,,,,240,17,,,
465,1080,,,,4.372068792,,,,,37.22821813,,0.138753959,,6.29341087,,,1.03312908,,,,,,,,,,,,,,,1.37857081,14.46570236,,4.684314871,,,,1.68407956,,,,,,2.294501111,,,,,,0.123639477,,,,,,0.824263815
466,1083,,,180,,,,220,,47,0,,,9,,,,,,,,,,,,,190,,,,,,18,,,0.2,7,6.9,,,,0.9,11,,,,,,,,,,373,15.5,,,
467,1084,,,156,,,,190,,,0,,,10,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,6,,,,,,,,,,341,15.5,,,
468,1085,,,153,,,,170,,,8,,,10,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,8,,,,,,,,,,320,13,,,
469,1092,,,,1.347313597,,,,,22.41932783,,,,,,,,,,,,,,,,,,,,,,,4.626958131,1.332986175,,,,,,,,,,,,,,,,,,,,,,,0.824615822
470,1093,,,,1.494543942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67
471,1094,,,,1.485789272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
472,1099,,,,1.312055034,,,,,27.30649937,,,,,,,,,,,,,,,,,,,,,,,5.888840532,1.31318178,,,,,,,,,,,,,,,,,,,,,,,0.973040302
473,1100,,,,1.420938574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77
