well_id,wellUse,As_,Ba,Ca,Cl_,Cr,GrossAlpha_U_Nat,Nitrate,Pb,Ra_Total,Se,U,None
376,Unknown,10,4.2,11.1,,5,,,3,,5,24.74627833,
377,Unknown,10,79.2,120.5,,20,,,3,,2.7,8.311940299,
378,Unknown,10,374,100,,5,,,3,,5,15.01641791,
379,Unknown,10,246,110,,5,,,2.5,,5,13.31641791,
380,Unknown,10,271,75.2,,5,,,3,,5,11.13134328,
381,Unknown,2.7,115,64.4,,5,,,3,,5,12.58208955,
382,Unknown,10,147,64.8,,5,,,3,,5,11.58358209,
383,Domestic,10,65.1,55.3,,5,,,3.6,,4.2,14.6761194,
384,Unknown,282,763,77.3,,5,,,17.4,,6.5,33.46567164,
385,Livestock,5.2,137,55.6,,6,,,75.1,,5,14.17313433,
386,Unknown,10,954,57.5,,5,,,3,,5,0.120895522,
387,Unknown,4.7,75.4,25.95,,5,,,3,1.216,5,28.87163508,
388,Unknown,55,63,8,,5,,1.68506046,3,,5.1,47.42,
389,Unknown,31.9,55.1,5.67,,5,,,3,,6.2,34.82089552,
390,Unknown,82.00753309,23,4.913454228,,5,,6.36900538,4,,31.10448341,187.9299094,
391,Unknown,20,32.2,14.9,,20,,,11,,5,12.46716418,
392,Unknown,10,45.2,51,,5,,,4.9,,5,12.73731343,
393,Domestic,10,28.6,98.5,,5,,,3,,5,3.276119403,
394,Unknown,10,30.5,66.8,,5,,,3,,5,3.935820896,
395,Domestic,10,26.1,52.9,,5,,,3,,32.52656914,14.88370905,
397,Unknown,3.3,16.8,52.5,,5,,,3,,5,4.164179104,
398,Unknown,47,30.7,57.1,,5,,,1.1,,5,2.873134328,
400,Domestic,10,1.7,4.97,,5,,,3,,5,0.323880597,
401,Domestic,10,38.8,56.41853032,,5,,,3,,5,0.34,
402,Domestic,10,49.7,25.53264597,,5,,,3,,5,0.51567104,
403,Unknown,10,8.8,32.1,,5,,,3,,5,3.632835821,
404,Unknown,3.9,121,30.1,,5,,,3,,5,4.140298507,
405,Unknown,6.6,72.6,51.59059674,,5,,4.85259798,3,,14.45112152,55.18694266,
406,Unknown,2.8,91.3,32.4,,5,,,3,,5,6.734328358,
407,Unknown,10,26.3,19.4,,5,,,3,,5,5.08358209,
408,Unknown,10,99.5,23.7,,5,,,3,,5,3.473134328,
409,Unknown,3.8,55.1,28.5,,5,,,3,,5,5.268656716,
410,Unknown,3.4,95.2,64,,5,,,3,,3.4,6.252238806,
411,Unknown,2.6,46.6,25.8,,5,,,3,,5,1.494029851,
412,Livestock,7.3,16.2,5.53,,5,,,3,,5,1.011940299,
413,Unknown,10,60.3,74.2,,5,,,3,,8.2,31.04925373,
414,Unknown,30.8,365,112,,18.7,,,81.8,,5.4,4.521492537,
415,Unknown,5.2,76.4,23.73134508,,5,,9.09730811,3,,5,1.892289662,
416,Unknown,2.7,98.6,36.1,,5,,,3,,4.2,19.05074627,
417,Unknown,2.7,71.7,29.7,,5,,,3,,5,2.12238806,
418,Unknown,4.1,209,66.6,,5,,,2.6,,5,0.210447761,
419,Unknown,13.32261943,53.2,1.263202956,,10.6,,,3,,38.08320721,11.24328358,
420,Unknown,4.6,41.3,31.9,,5,,,3,,5,2.898507463,
421,Unknown,10,13.4,305.8334922,,5,,30.60312059,3,,79.87044953,24.80462351,
422,Unknown,7.6,258,17.5,,5,,,3,,5,3.007462687,
423,Unknown,10,10.4,551,,5,,,3,,35.7,20.98059701,
424,Unknown,10,0.57,21.63958992,,5,,,3,,5,2.388059701,
425,Domestic,1.636977035,23.4,35.8,,5,,,1.2,,5,1.194029851,
426,Unknown,0.54,34.4,29.8,,5,,,2.1,,1.3,5.223880597,
427,Livestock,0.59,1.2,3.57,,5,,,1.3,,5,1.641791045,
428,Domestic,10,32.2,137.6664124,,5,,1.50010756,0.66,,1.6,5.671641791,
429,Unknown,1.3,21.8,146,,5,,,2.39,,5,1.641791045,
430,Unknown,8.86,207,59.8,,5,,,3,,9.81,42.3880597,
431,Unknown,5.4,13.4,6.95,,5,,,3,,5.74,19.70149254,
432,Unknown,8.47,159,51,,6.2,,,11.5,,2.06,5.223880597,
433,Unknown,6.82,143,18.7,,5.8,,,2.86,,15.1,28.05970149,
434,Unknown,9.03,18.5,24.4,,5,,,3,,3.2,37.68,
